ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
MSTR,True,3,True,74,False,fresh
MT,True,3,True,59,True,fresh
MTB,True,3,True,75,True,fresh
MTD,False,,False,,False,missing
MTZ,True,3,True,4,True,fresh
MU,True,3,True,46,True,fresh
MUFG,True,3,True,301,True,fresh
NBIS,True,3,True,4,True,fresh
NCLH,False,,False,,False,missing
NDAQ,True,3,True,10,True,fresh
NDSN,False,,False,,False,missing
NEE,True,3,True,11,True,fresh
NEM,True,3,True,11,True,fresh
NET,True,3,True,67,False,fresh
NFLX,False,,False,,False,missing
NGG,True,3,True,340,True,fresh
NI,False,,False,,False,missing
NKE,True,3,True,33,True,fresh
NOC,True,3,True,13,True,fresh
NOK,True,3,True,60,True,fresh
NOW,True,3,True,11,True,fresh
NRG,True,3,True,69,True,fresh
NSC,True,3,True,10,True,fresh
NTAP,False,,False,,False,missing
NTES,True,3,True,19,True,fresh
NTR,True,3,True,66,True,fresh
NTRA,True,3,True,66,True,fresh
NTRS,False,,False,,False,missing
NU,True,3,True,26,False,fresh
NUE,True,3,True,68,True,fresh
NVDA,False,,True,68,False,missing
NVO,True,3,True,89,False,fresh
NVR,False,,False,,False,missing
NVS,True,3,True,89,True,fresh
NWG,True,3,True,76,False,fresh
NWS,False,,False,,False,missing
NWSA,False,,False,,False,missing
NXPI,True,3,True,6,True,fresh
O,True,3,True,68,True,fresh
ODFL,True,3,True,69,True,fresh
OKE,True,3,True,5,True,fresh
OMC,False,,False,,False,missing
ON,True,3,True,84,True,fresh
ONC,True,3,True,67,True,fresh
ORCL,True,3,True,54,True,fresh
ORLY,True,3,True,66,True,fresh
OTIS,True,3,True,11,True,fresh
OXY,True,3,True,75,True,fresh
PANW,True,3,True,75,True,fresh
PAYX,True,3,True,39,True,fresh
PBR,True,3,True,25,True,fresh
PCAR,True,3,True,5,True,fresh
PCG,True,3,True,11,True,fresh
PDD,True,3,True,5,True,fresh
PEG,True,3,True,67,True,fresh
PEP,True,3,True,18,True,fresh
PFE,True,3,True,67,True,fresh
PFG,False,,False,,False,missing
PG,True,3,True,10,True,fresh
PGR,True,3,True,63,True,fresh
PH,True,3,True,94,True,fresh
PHM,False,,False,,False,missing
PKG,False,,False,,False,missing
PLD,True,3,True,4,True,fresh
PLTR,True,3,True,76,True,fresh
PM,True,3,True,10,True,fresh
PNC,True,3,True,73,True,fresh
